datetime_to_utc,location_id,station_name,latitude,longitude,pm25,pm25_next_hour,predicted_pm25_xgboost,predicted_pm25_persistence,predicted_pm25_hybrid,xgboost_absolute_error,persistence_absolute_error,hybrid_absolute_error,forecast_change_pm25,forecast_change_percent,predicted_pm25_subindex,aqi_category,risk_level,forecast_direction,recommendation,alert_message
2025-12-24 17:30:00+00:00,2586,"Manali, Chennai - CPCB",13.164544,80.26285,32.6,37.4,40.9,32.6,32.6,3.4950004577636733,4.799999999999997,4.799999999999997,8.3,25.44,68,Satisfactory,Low,Rising,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Manali, Chennai - CPCB is forecast to remain within the satisfactory category at 40.9 µg/m³. Conditions are rising."
2025-12-24 17:30:00+00:00,5655,"Velachery Res. Area, Chennai - CPCB",13.0052189,80.2398125,7.73,7.73,22.29,7.73,7.73,14.563785095214843,0.0,0.0,14.56,188.41,37,Good,Low,Rising sharply,Air quality is suitable for normal outdoor activity.,"Velachery Res. Area, Chennai - CPCB is forecast to remain within the good category at 22.3 µg/m³. Conditions are rising sharply."
2025-12-24 17:30:00+00:00,10780,"Manali Village, Chennai - TNPCB",13.1662,80.2584,66.8,66.3,71.14,66.8,66.8,4.839602661132815,0.5,0.5,4.34,6.5,136,Moderately Polluted,Moderate,Rising,"Children, older adults and people with respiratory conditions should limit prolonged outdoor activity.","Air-quality caution for Manali Village, Chennai - TNPCB: next-hour PM2.5 is forecast at 71.1 µg/m³. Conditions are rising."
2025-12-24 17:30:00+00:00,11578,"Royapuram, Chennai - TNPCB",13.1036,80.2909,54.0,18.8,47.45,54.0,54.0,28.65172119140625,35.2,35.2,-6.55,-12.13,79,Satisfactory,Low,Improving,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Royapuram, Chennai - TNPCB is forecast to remain within the satisfactory category at 47.5 µg/m³. Conditions are improving."
2025-12-24 17:30:00+00:00,11581,"Arumbakkam, Chennai - TNPCB",13.0664,80.2112,81.5,75.9,70.33,81.5,81.5,5.565969848632818,5.599999999999994,5.599999999999994,-11.17,-13.7,133,Moderately Polluted,Moderate,Improving sharply,"Children, older adults and people with respiratory conditions should limit prolonged outdoor activity.","Air-quality caution for Arumbakkam, Chennai - TNPCB: next-hour PM2.5 is forecast at 70.3 µg/m³. Conditions are improving sharply."
2025-12-24 17:30:00+00:00,12046,"Perungudi, Chennai - TNPCB",12.9533,80.2357,56.4,66.0,52.52,56.4,56.4,13.477287292480469,9.6,9.6,-3.88,-6.87,87,Satisfactory,Low,Improving,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Perungudi, Chennai - TNPCB is forecast to remain within the satisfactory category at 52.5 µg/m³. Conditions are improving."
2025-12-24 18:30:00+00:00,2586,"Manali, Chennai - CPCB",13.164544,80.26285,37.4,63.4,34.43,37.4,37.4,28.9728759765625,26.0,26.0,-2.97,-7.95,57,Satisfactory,Low,Stable,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Manali, Chennai - CPCB is forecast to remain within the satisfactory category at 34.4 µg/m³. Conditions are stable."
2025-12-24 18:30:00+00:00,5655,"Velachery Res. Area, Chennai - CPCB",13.0052189,80.2398125,7.73,7.73,38.05,7.73,7.73,30.31576873779297,0.0,0.0,30.32,392.18,63,Satisfactory,Low,Rising sharply,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Velachery Res. Area, Chennai - CPCB is forecast to remain within the satisfactory category at 38.0 µg/m³. Conditions are rising sharply."
2025-12-24 18:30:00+00:00,10780,"Manali Village, Chennai - TNPCB",13.1662,80.2584,66.3,63.4,65.04,66.3,66.3,1.6360107421875014,2.8999999999999986,2.8999999999999986,-1.26,-1.91,115,Moderately Polluted,Moderate,Stable,"Children, older adults and people with respiratory conditions should limit prolonged outdoor activity.","Air-quality caution for Manali Village, Chennai - TNPCB: next-hour PM2.5 is forecast at 65.0 µg/m³. Conditions are stable."
2025-12-24 18:30:00+00:00,11578,"Royapuram, Chennai - TNPCB",13.1036,80.2909,18.8,14.9,11.45,18.8,18.8,3.447202110290528,3.9,3.9,-7.35,-39.08,19,Good,Low,Improving,Air quality is suitable for normal outdoor activity.,"Royapuram, Chennai - TNPCB is forecast to remain within the good category at 11.5 µg/m³. Conditions are improving."
