frame_index,hotspot_rank,is_top_hotspot,station_name,location_id,latitude,longitude,datetime_to_utc,forecast_for_utc,pm25,predicted_pm25_xgboost,pm25_next_hour,forecast_change_pm25,forecast_change_percent,forecast_direction,predicted_pm25_subindex,aqi_category,risk_level,recommendation,alert_message
0,1,True,"Manali, Chennai - CPCB",2586,13.164544,80.26285,2026-02-21 13:30:00+00:00,2026-02-21 14:30:00+00:00,60.3,54.94,65.0,-5.36,-8.89,Improving,91,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Manali, Chennai - CPCB is forecast to remain within the satisfactory category at 54.9 µg/m³. Conditions are improving."
0,2,False,"Velachery Res. Area, Chennai - CPCB",5655,13.0052189,80.2398125,2026-02-21 13:30:00+00:00,2026-02-21 14:30:00+00:00,53.7,51.77,57.8,-1.93,-3.6,Stable,86,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Velachery Res. Area, Chennai - CPCB is forecast to remain within the satisfactory category at 51.8 µg/m³. Conditions are stable."
0,3,False,"Manali Village, Chennai - TNPCB",10780,13.1662,80.2584,2026-02-21 13:30:00+00:00,2026-02-21 14:30:00+00:00,32.7,48.69,38.8,15.99,48.89,Rising sharply,81,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Manali Village, Chennai - TNPCB is forecast to remain within the satisfactory category at 48.7 µg/m³. Conditions are rising sharply."
0,4,False,"Royapuram, Chennai - TNPCB",11578,13.1036,80.2909,2026-02-21 13:30:00+00:00,2026-02-21 14:30:00+00:00,33.0,33.94,39.3,0.94,2.84,Stable,56,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Royapuram, Chennai - TNPCB is forecast to remain within the satisfactory category at 33.9 µg/m³. Conditions are stable."
0,5,False,"Perungudi, Chennai - TNPCB",12046,12.9533,80.2357,2026-02-21 13:30:00+00:00,2026-02-21 14:30:00+00:00,22.5,26.52,24.0,4.02,17.85,Rising,44,Good,Low,Air quality is suitable for normal outdoor activity.,"Perungudi, Chennai - TNPCB is forecast to remain within the good category at 26.5 µg/m³. Conditions are rising."
0,6,False,"Arumbakkam, Chennai - TNPCB",11581,13.0664,80.2112,2026-02-21 13:30:00+00:00,2026-02-21 14:30:00+00:00,19.9,24.18,30.8,4.28,21.52,Rising,40,Good,Low,Air quality is suitable for normal outdoor activity.,"Arumbakkam, Chennai - TNPCB is forecast to remain within the good category at 24.2 µg/m³. Conditions are rising."
1,1,True,"Manali, Chennai - CPCB",2586,13.164544,80.26285,2026-02-21 14:30:00+00:00,2026-02-21 15:30:00+00:00,65.0,59.84,68.2,-5.16,-7.94,Improving,100,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Manali, Chennai - CPCB is forecast to remain within the satisfactory category at 59.8 µg/m³. Conditions are improving."
1,2,False,"Velachery Res. Area, Chennai - CPCB",5655,13.0052189,80.2398125,2026-02-21 14:30:00+00:00,2026-02-21 15:30:00+00:00,57.8,53.3,51.1,-4.5,-7.78,Improving,89,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Velachery Res. Area, Chennai - CPCB is forecast to remain within the satisfactory category at 53.3 µg/m³. Conditions are improving."
1,3,False,"Manali Village, Chennai - TNPCB",10780,13.1662,80.2584,2026-02-21 14:30:00+00:00,2026-02-21 15:30:00+00:00,38.8,41.74,39.6,2.94,7.58,Stable,69,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Manali Village, Chennai - TNPCB is forecast to remain within the satisfactory category at 41.7 µg/m³. Conditions are stable."
1,4,False,"Royapuram, Chennai - TNPCB",11578,13.1036,80.2909,2026-02-21 14:30:00+00:00,2026-02-21 15:30:00+00:00,39.3,40.93,30.0,1.63,4.15,Stable,68,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Royapuram, Chennai - TNPCB is forecast to remain within the satisfactory category at 40.9 µg/m³. Conditions are stable."
