,missing_count,missing_percent
wind_direction_percent_coverage,11859,22.62
wind_direction_has_flags,11859,22.62
wind_direction,11859,22.62
relativehumidity,10761,20.53
relativehumidity_has_flags,10467,19.97
relativehumidity_percent_coverage,10467,19.97
pm25,10162,19.39
pm25_has_flags,10089,19.25
pm25_percent_coverage,10089,19.25
wind_speed_has_flags,10069,19.21
wind_speed_percent_coverage,10069,19.21
wind_speed,10069,19.21
pm10,9792,18.68
pm10_has_flags,9653,18.42
pm10_percent_coverage,9653,18.42
temperature_has_flags,9588,18.29
temperature,9588,18.29
temperature_percent_coverage,9588,18.29
station_name,0,0.0
longitude,0,0.0
datetime_to_utc,0,0.0
location_id,0,0.0
latitude,0,0.0
road_nodes_250m,0,0.0
road_edges_250m,0,0.0
total_edge_length_km_250m,0,0.0
street_length_km_250m,0,0.0
intersection_count_250m,0,0.0
street_density_km_per_sqkm_250m,0,0.0
road_nodes_500m,0,0.0
road_edges_500m,0,0.0
total_edge_length_km_500m,0,0.0
street_length_km_500m,0,0.0
intersection_count_500m,0,0.0
street_density_km_per_sqkm_500m,0,0.0
road_nodes_1000m,0,0.0
road_edges_1000m,0,0.0
total_edge_length_km_1000m,0,0.0
street_length_km_1000m,0,0.0
intersection_count_1000m,0,0.0
street_density_km_per_sqkm_1000m,0,0.0
osm_feature_count_250m,0,0.0
industrial_feature_count_250m,0,0.0
industrial_area_sqkm_250m,0,0.0
industrial_coverage_pct_250m,0,0.0
residential_feature_count_250m,0,0.0
residential_area_sqkm_250m,0,0.0
residential_coverage_pct_250m,0,0.0
commercial_feature_count_250m,0,0.0
commercial_area_sqkm_250m,0,0.0
commercial_coverage_pct_250m,0,0.0
construction_feature_count_250m,0,0.0
construction_area_sqkm_250m,0,0.0
construction_coverage_pct_250m,0,0.0
green_space_feature_count_250m,0,0.0
green_space_area_sqkm_250m,0,0.0
green_space_coverage_pct_250m,0,0.0
osm_feature_count_500m,0,0.0
industrial_feature_count_500m,0,0.0
industrial_area_sqkm_500m,0,0.0
industrial_coverage_pct_500m,0,0.0
residential_feature_count_500m,0,0.0
residential_area_sqkm_500m,0,0.0
residential_coverage_pct_500m,0,0.0
commercial_feature_count_500m,0,0.0
commercial_area_sqkm_500m,0,0.0
commercial_coverage_pct_500m,0,0.0
construction_feature_count_500m,0,0.0
construction_area_sqkm_500m,0,0.0
construction_coverage_pct_500m,0,0.0
green_space_feature_count_500m,0,0.0
green_space_area_sqkm_500m,0,0.0
green_space_coverage_pct_500m,0,0.0
osm_feature_count_1000m,0,0.0
industrial_feature_count_1000m,0,0.0
industrial_area_sqkm_1000m,0,0.0
industrial_coverage_pct_1000m,0,0.0
residential_feature_count_1000m,0,0.0
residential_area_sqkm_1000m,0,0.0
residential_coverage_pct_1000m,0,0.0
commercial_feature_count_1000m,0,0.0
commercial_area_sqkm_1000m,0,0.0
commercial_coverage_pct_1000m,0,0.0
construction_feature_count_1000m,0,0.0
construction_area_sqkm_1000m,0,0.0
construction_coverage_pct_1000m,0,0.0
green_space_feature_count_1000m,0,0.0
green_space_area_sqkm_1000m,0,0.0
green_space_coverage_pct_1000m,0,0.0
